# x, f(x)
-1.200000000000000000e+01,4.567360204182296821e-12
-1.197597597597597563e+01,4.967652239258147170e-12
-1.195195195195195126e+01,5.402247082847922364e-12
-1.192792792792792866e+01,5.874014824192300024e-12
-1.190390390390390429e+01,6.386059624745080685e-12
-1.187987987987987992e+01,6.941738289711363652e-12
-1.185585585585585555e+01,7.544680269761324903e-12
-1.183183183183183118e+01,8.198809199522437917e-12
-1.180780780780780859e+01,8.908366087118347125e-12
-1.178378378378378422e+01,9.677934277217462594e-12
-1.175975975975975985e+01,1.051246631881205150e-11
-1.173573573573573547e+01,1.141731287830989697e-11
-1.171171171171171110e+01,1.239825384852060263e-11
-1.168768768768768851e+01,1.346153181480195290e-11
-1.166366366366366414e+01,1.461388805104451477e-11
-1.163963963963963977e+01,1.586260123035342142e-11
-1.161561561561561540e+01,1.721552904830166785e-11
-1.159159159159159103e+01,1.868115297051038466e-11
-1.156756756756756843e+01,2.026862633113668104e-11
-1.154354354354354406e+01,2.198782602466240464e-11
-1.151951951951951969e+01,2.384940805024873856e-11
-1.149549549549549532e+01,2.586486718592100816e-11
-1.147147147147147095e+01,2.804660108903558718e-11
-1.144744744744744835e+01,3.040797913994793293e-11
-1.142342342342342398e+01,3.296341636761508703e-11
-1.139939939939939961e+01,3.572845281911295246e-11
-1.137537537537537524e+01,3.871983875983262043e-11
-1.135135135135135087e+01,4.195562611751121484e-11
-1.132732732732732828e+01,4.545526661137458494e-11
-1.130330330330330391e+01,4.923971703761861766e-11
-1.127927927927927954e+01,5.333155221433970839e-11
-1.125525525525525516e+01,5.775508612297901259e-11
-1.123123123123123079e+01,6.253650181947589137e-11
-1.120720720720720642e+01,6.770399072677855322e-11
-1.118318318318318383e+01,7.328790196128144975e-11
-1.115915915915915946e+01,7.932090238927448656e-11
-1.113513513513513509e+01,8.583814815578277106e-11
-1.111111111111111072e+01,9.287746847740337972e-11
-1.108708708708708635e+01,1.004795625430699385e-10
-1.106306306306306375e+01,1.086882104223090119e-10
-1.103903903903903938e+01,1.175504989396635666e-10
-1.101501501501501501e+01,1.271170635367703084e-10
-1.099099099099099064e+01,1.374423472103091297e-10
-1.096696696696696627e+01,1.485848776849114505e-10
-1.094294294294294367e+01,1.606075640553654386e-10
-1.091891891891891930e+01,1.735780142123619370e-10
-1.089489489489489493e+01,1.875688744508361693e-10
-1.087087087087087056e+01,2.026581927499602695e-10
-1.084684684684684619e+01,2.189298073093579094e-10
-1.082282282282282360e+01,2.364737620274011840e-10
-1.079879879879879923e+01,2.553867507149375616e-10
-1.077477477477477485e+01,2.757725919516930835e-10
-1.075075075075075048e+01,2.977427366134651373e-10
-1.072672672672672611e+01,3.214168102262180457e-10
