# x, sinc(x)
-1.783783783783783861e+01,-4.752506347843605400e-02
-1.779779779779779858e+01,-4.878674799424064651e-02
-1.775775775775775855e+01,-4.997574114577322396e-02
-1.771771771771771853e+01,-5.108981659191017682e-02
-1.767767767767767850e+01,-5.212685681916837815e-02
-1.763763763763763848e+01,-5.308485696115693847e-02
-1.759759759759759845e+01,-5.396192845829554663e-02
-1.755755755755755843e+01,-5.475630255142890229e-02
-1.751751751751751840e+01,-5.546633360319696421e-02
-1.747747747747747837e+01,-5.609050224126239242e-02
-1.743743743743743835e+01,-5.662741831774769502e-02
-1.739739739739739832e+01,-5.707582367949511765e-02
-1.735735735735735830e+01,-5.743459474403311144e-02
-1.731731731731731827e+01,-5.770274487641180450e-02
-1.727727727727727824e+01,-5.787942656235791489e-02
-1.723723723723723822e+01,-5.796393337349514674e-02
-1.719719719719719819e+01,-5.795570172067992382e-02
-1.715715715715715817e+01,-5.785431239181266366e-02
-1.711711711711711814e+01,-5.765949187080290222e-02
-1.707707707707707812e+01,-5.737111343469030594e-02
-1.703703703703703809e+01,-5.698919802625343478e-02
-1.699699699699699806e+01,-5.651391489977380250e-02
-1.695695695695695804e+01,-5.594558203796253654e-02
-1.691691691691691801e+01,-5.528466633840208727e-02
-1.687687687687687799e+01,-5.453178356820356787e-02
-1.683683683683683796e+01,-5.368769808593263498e-02
-1.679679679679679793e+01,-5.275332233021154393e-02
-1.675675675675675791e+01,-5.172971607476206657e-02
-1.671671671671671788e+01,-5.061808545001330456e-02
-1.667667667667667786e+01,-4.941978173175825412e-02
-1.663663663663663783e+01,-4.813629989770445983e-02
-1.659659659659659781e+01,-4.676927695312475125e-02
-1.655655655655655778e+01,-4.532049002717532249e-02
-1.651651651651651775e+01,-4.379185424180786351e-02
-1.647647647647647773e+01,-4.218542035556119285e-02
-1.643643643643643770e+01,-4.050337218487388286e-02
-1.639639639639639768e+01,-3.874802380591336332e-02
-1.635635635635635765e+01,-3.692181654026747278e-02
-1.631631631631631763e+01,-3.502731572819154510e-02
-1.627627627627627760e+01,-3.306720729344667792e-02
-1.623623623623623757e+01,-3.104429410410300058e-02
-1.619619619619619755e+01,-2.896149213401429806e-02
-1.615615615615615752e+01,-2.682182642999735023e-02
-1.611611611611611750e+01,-2.462842689006978711e-02
-1.607607607607607747e+01,-2.238452385841409320e-02
-1.603603603603603744e+01,-2.009344354304156213e-02
-1.599599599599599564e+01,-1.775860326242854892e-02
-1.595595595595595562e+01,-1.538350652768817606e-02
-1.591591591591591559e+01,-1.297173796711989166e-02
-1.587587587587587556e+01,-1.052695810025491320e-02
-1.583583583583583554e+01,-8.052897968774466730e-03
-1.579579579579579551e+01,-5.553353631932031464e-03
-1.575575575575575549e+01,-3.032180534351796523e-03
-1.571571571571571546e+01,-4.932877543062432488e-04
-1.567567567567567544e+01,2.059367859204866858e-03
-1.563563563563563541e+01,4.621787652044335656e-03
-1.559559559559559538e+01,7.189937224471003828e-03
-1.555555555555555536e+01,9.759752575708689065e-03
-1.551551551551551533e+01,1.232714632447226392e-02
-1.547547547547547531e+01,1.488801399621544723e-02
-1.543543543543543528e+01,1.743824036772123262e-02
-1.539539539539539525e+01,1.997370585952580602e-02
