# x, f(x), root1, root2
-1.418796992481203034e+01,-2.237593984962406068e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.410275689223057682e+01,-2.220551378446115365e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.401754385964912331e+01,-2.203508771929824661e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.393233082706766979e+01,-2.186466165413533957e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.384711779448621627e+01,-2.169423558897243254e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.376190476190476275e+01,-2.152380952380952550e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.367669172932330923e+01,-2.135338345864661846e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.359147869674185571e+01,-2.118295739348371143e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.350626566416040220e+01,-2.101253132832080439e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.342105263157894868e+01,-2.084210526315789735e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.333583959899749338e+01,-2.067167919799498677e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.325062656641603986e+01,-2.050125313283207973e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.316541353383458635e+01,-2.033082706766917269e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.308020050125313283e+01,-2.016040100250626566e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.299498746867167931e+01,-1.998997493734335862e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.290977443609022579e+01,-1.981954887218045158e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.282456140350877227e+01,-1.964912280701754455e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.273934837092731875e+01,-1.947869674185463751e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.265413533834586524e+01,-1.930827067669173047e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.256892230576441172e+01,-1.913784461152882344e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.248370927318295642e+01,-1.896741854636591285e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.239849624060150290e+01,-1.879699248120300581e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.231328320802004939e+01,-1.862656641604009877e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
