# x, f(x)
-1.200000000000000000e+01,1.112362079854614139e-05
-1.197597597597597563e+01,1.151603199599805772e-05
-1.195195195195195126e+01,1.192152186692614967e-05
-1.192792792792792866e+01,1.234049800264821907e-05
-1.190390390390390429e+01,1.277337969255499800e-05
-1.187987987987987992e+01,1.322059822579753818e-05
-1.185585585585585555e+01,1.368259719965214060e-05
-1.183183183183183118e+01,1.415983283467710017e-05
-1.180780780780780859e+01,1.465277429677490350e-05
-1.178378378378378422e+01,1.516190402627534377e-05
-1.175975975975975985e+01,1.568771807415601487e-05
-1.173573573573573547e+01,1.623072644551619754e-05
-1.171171171171171110e+01,1.679145345042303917e-05
-1.168768768768768851e+01,1.737043806224691938e-05
-1.166366366366366414e+01,1.796823428360599885e-05
-1.163963963963963977e+01,1.858541152003917468e-05
-1.161561561561561540e+01,1.922255496152761256e-05
-1.159159159159159103e+01,1.988026597198640837e-05
-1.156756756756756843e+01,2.055916248684635966e-05
-1.154354354354354406e+01,2.125987941884891424e-05
-1.151951951951951969e+01,2.198306907217589243e-05
-1.149549549549549532e+01,2.272940156503617262e-05
-1.147147147147147095e+01,2.349956526083369477e-05
-1.144744744744744835e+01,2.429426720803811745e-05
-1.142342342342342398e+01,2.511423358888259849e-05
-1.139939939939939961e+01,2.596021017701252850e-05
-1.137537537537537524e+01,2.683296280420706796e-05
-1.135135135135135087e+01,2.773327783630032627e-05
-1.132732732732732828e+01,2.866196265842214941e-05
-1.130330330330330391e+01,2.961984616968490048e-05
-1.127927927927927954e+01,3.060777928743836515e-05
-1.125525525525525516e+01,3.162663546121547282e-05
-1.123123123123123079e+01,3.267731119649375758e-05
-1.120720720720720642e+01,3.376072658839255621e-05
-1.118318318318318383e+01,3.487782586542864796e-05
-1.115915915915915946e+01,3.602957794345451777e-05
-1.113513513513513509e+01,3.721697698989452765e-05
-1.111111111111111072e+01,3.844104299840545475e-05
-1.108708708708708635e+01,3.970282237407636897e-05
-1.106306306306306375e+01,4.100338852928760717e-05
-1.103903903903903938e+01,4.234384249034845832e-05
-1.101501501501501501e+01,4.372531351502572061e-05
-1.099099099099099064e+01,4.514895972108316503e-05
-1.096696696696696627e+01,4.661596872594308362e-05
-1.094294294294294367e+01,4.812755829758361462e-05
-1.091891891891891930e+01,4.968497701678323270e-05
-1.089489489489489493e+01,5.128950495082194248e-05
-1.087087087087087056e+01,5.294245433874737212e-05
-1.084684684684684619e+01,5.464517028831222193e-05
-1.082282282282282360e+01,5.639903148468763255e-05
-1.079879879879879923e+01,5.820545091105438102e-05
-1.077477477477477485e+01,6.006587658117267442e-05
-1.075075075075075048e+01,6.198179228402855986e-05
-1.072672672672672611e+01,6.395471834065241472e-05
-1.070270270270270174e+01,6.598621237320420195e-05
-1.067867867867867915e+01,6.807787008641244335e-05
-1.065465465465465478e+01,7.023132606146068090e-05
-1.063063063063063041e+01,7.244825456239948854e-05
-1.060660660660660604e+01,7.473037035517175329e-05
-1.058258258258258167e+01,7.707942953932790577e-05
-1.055855855855855907e+01,7.949723039250481240e-05
-1.053453453453453470e+01,8.198561422774496878e-05
-1.051051051051051033e+01,8.454646626371822751e-05
-1.048648648648648596e+01,8.718171650791748219e-05
-1.046246246246246159e+01,8.989334065288498432e-05
-1.043843843843843899e+01,9.268336098552582068e-05
-1.041441441441441462e+01,9.555384730956621719e-05
-1.039039039039039025e+01,9.850691788119673054e-05
-1.036636636636636588e+01,1.015447403579525319e-04
-1.034234234234234151e+01,1.046695327608653957e-04
-1.031831831831831892e+01,1.078835644499209095e-04
-1.029429429429429455e+01,1.111891571128546634e-04
-1.027027027027027017e+01,1.145886857673051191e-04
-1.024624624624624580e+01,1.180845797763488544e-04
-1.022222222222222143e+01,1.216793238774263006e-04
-1.019819819819819884e+01,1.253754592246672701e-04
-1.017417417417417447e+01,1.291755844446196625e-04
-1.015015015015015010e+01,1.330823567053722684e-04
-1.012612612612612573e+01,1.370984927990664677e-04
-1.010210210210210136e+01,1.412267702377782274e-04
-1.007807807807807876e+01,1.454700283627418441e-04
-1.005405405405405439e+01,1.498311694668947637e-04
-1.003003003003003002e+01,1.543131599306945807e-04
-1.000600600600600565e+01,1.589190313711732517e-04
-9.981981981981981278e+00,1.636518818041728216e-04
-9.957957957957958683e+00,1.685148768196992103e-04
-9.933933933933934313e+00,1.735112507703367058e-04
-9.909909909909909942e+00,1.786443079726348000e-04
-9.885885885885885571e+00,1.839174239213964344e-04
-9.861861861861861200e+00,1.893340465167691017e-04
-9.837837837837838606e+00,1.948976973040373749e-04
-9.813813813813814235e+00,2.006119727260160352e-04
-9.789789789789789864e+00,2.064805453879118224e-04
-9.765765765765765494e+00,2.125071653345434093e-04
-9.741741741741741123e+00,2.186956613397701981e-04
-9.717717717717718529e+00,2.250499422079875543e-04
-9.693693693693694158e+00,2.315739980875383718e-04
-9.669669669669669787e+00,2.382719017958639723e-04
-9.645645645645645416e+00,2.451478101562290794e-04
-9.621621621621621046e+00,2.522059653458303742e-04
-9.597597597597598451e+00,2.594506962550874839e-04
-9.573573573573574080e+00,2.668864198579191352e-04
-9.549549549549549710e+00,2.745176425927722884e-04
-9.525525525525525339e+00,2.823489617541864640e-04
-9.501501501501500968e+00,2.903850668946477993e-04
-9.477477477477478374e+00,2.986307412364724617e-04
-9.453453453453454003e+00,3.070908630934740665e-04
-9.429429429429429632e+00,3.157704073021101103e-04
-9.405405405405405261e+00,3.246744466618480809e-04
-9.381381381381380891e+00,3.338081533844317289e-04
-9.357357357357358296e+00,3.431768005517341655e-04
-9.333333333333333925e+00,3.527857635818858087e-04
-9.309309309309309555e+00,3.626405217033167342e-04
-9.285285285285285184e+00,3.727466594363767864e-04
-9.261261261261260813e+00,3.831098680821664465e-04
-9.237237237237238219e+00,3.937359472181832130e-04
-9.213213213213213848e+00,4.046308062004190932e-04
-9.189189189189189477e+00,4.158004656714649541e-04
-9.165165165165165106e+00,4.272510590742356488e-04
-9.141141141141140736e+00,4.389888341708642386e-04
-9.117117117117118141e+00,4.510201545663062076e-04
-9.093093093093093771e+00,4.633515012362178715e-04
-9.069069069069069400e+00,4.759894740585930120e-04
-9.045045045045045029e+00,4.889407933486990092e-04
-9.021021021021020658e+00,5.022123013967818086e-04
-8.996996996996998064e+00,5.158109640080183866e-04
