# x, f(x)
-2.000000000000000000e+00,4.000000000000000000e+00
-1.995995995995996086e+00,4.000000000000000000e+00
-1.991991991991991950e+00,4.000000000000000000e+00
-1.987987987987988037e+00,4.000000000000000000e+00
-1.983983983983983901e+00,4.000000000000000000e+00
-1.979979979979979987e+00,4.000000000000000000e+00
-1.975975975975976073e+00,4.000000000000000000e+00
-1.971971971971971938e+00,4.000000000000000000e+00
-1.967967967967968024e+00,4.000000000000000000e+00
-1.963963963963963888e+00,4.000000000000000000e+00
-1.959959959959959974e+00,4.000000000000000000e+00
-1.955955955955956060e+00,4.000000000000000000e+00
-1.951951951951951925e+00,4.000000000000000000e+00
-1.947947947947948011e+00,4.000000000000000000e+00
-1.943943943943943875e+00,4.000000000000000000e+00
-1.939939939939939961e+00,4.000000000000000000e+00
-1.935935935935936048e+00,4.000000000000000000e+00
-1.931931931931931912e+00,4.000000000000000000e+00
-1.927927927927927998e+00,4.000000000000000000e+00
-1.923923923923923862e+00,4.000000000000000000e+00
-1.919919919919919948e+00,4.000000000000000000e+00
-1.915915915915916035e+00,4.000000000000000000e+00
-1.911911911911911899e+00,4.000000000000000000e+00
-1.907907907907907985e+00,4.000000000000000000e+00
-1.903903903903903849e+00,4.000000000000000000e+00
-1.899899899899899935e+00,4.000000000000000000e+00
-1.895895895895895800e+00,4.000000000000000000e+00
-1.891891891891891886e+00,4.000000000000000000e+00
-1.887887887887887972e+00,4.000000000000000000e+00
-1.883883883883883836e+00,4.000000000000000000e+00
-1.879879879879879923e+00,4.000000000000000000e+00
-1.875875875875875787e+00,4.000000000000000000e+00
-1.871871871871871873e+00,4.000000000000000000e+00
-1.867867867867867959e+00,4.000000000000000000e+00
-1.863863863863863823e+00,4.000000000000000000e+00
-1.859859859859859910e+00,4.000000000000000000e+00
-1.855855855855855774e+00,4.000000000000000000e+00
-1.851851851851851860e+00,4.000000000000000000e+00
-1.847847847847847724e+00,4.000000000000000000e+00
-1.843843843843843811e+00,4.000000000000000000e+00
-1.839839839839839897e+00,4.000000000000000000e+00
-1.835835835835835761e+00,4.000000000000000000e+00
