# x, f(x)
-9.117117117117118141e+00,7.425836722076091523e-03
-9.093093093093093771e+00,7.528054916096118404e-03
-9.069069069069069400e+00,7.631404879086979044e-03
-9.045045045045045029e+00,7.735894641550757934e-03
-9.021021021021020658e+00,7.841532219903669942e-03
-8.996996996996998064e+00,7.948325615118646131e-03
-8.972972972972971917e+00,8.056282811352205586e-03
-8.948948948948949322e+00,8.165411774555550797e-03
-8.924924924924924952e+00,8.275720451070235281e-03
-8.900900900900900581e+00,8.387216766208177923e-03
-8.876876876876877986e+00,8.499908622816403081e-03
-8.852852852852851839e+00,8.613803899826487365e-03
-8.828828828828829245e+00,8.728910450788702688e-03
-8.804804804804804874e+00,8.845236102391337840e-03
-8.780780780780780503e+00,8.962788652964839495e-03
-8.756756756756756133e+00,9.081575870971289599e-03
-8.732732732732731762e+00,9.201605493479160167e-03
-8.708708708708709167e+00,9.322885224623513739e-03
-8.684684684684684797e+00,9.445422734051854216e-03
-8.660660660660660426e+00,9.569225655355626317e-03
-8.636636636636636055e+00,9.694301584487727969e-03
-8.612612612612611684e+00,9.820658078166018268e-03
-8.588588588588589090e+00,9.948302652263055212e-03
-8.564564564564564719e+00,1.007724278018229912e-02
-8.540540540540540349e+00,1.020748589122075049e-02
-8.516516516516515978e+00,1.033903936891849250e-02
-8.492492492492491607e+00,1.047191054939509980e-02
-8.468468468468469013e+00,1.060610671967317752e-02
-8.444444444444444642e+00,1.074163511598930087e-02
-8.420420420420420271e+00,1.087850292209239719e-02
-8.396396396396395900e+00,1.101671726752998827e-02
-8.372372372372371530e+00,1.115628522592230186e-02
-8.348348348348348935e+00,1.129721381322468070e-02
-8.324324324324324564e+00,1.143950998597832898e-02
-8.300300300300300194e+00,1.158318063954972589e-02
-8.276276276276275823e+00,1.172823260635897508e-02
-8.252252252252251452e+00,1.187467265409726871e-02
-8.228228228228228858e+00,1.202250748393371080e-02
-8.204204204204204487e+00,1.217174372871189861e-02
-8.180180180180180116e+00,1.232238795113628146e-02
-8.156156156156155745e+00,1.247444664194877727e-02
-8.132132132132131375e+00,1.262792621809586194e-02
-8.108108108108108780e+00,1.278283302088635207e-02
-8.084084084084084409e+00,1.293917331414027802e-02
-8.060060060060060039e+00,1.309695328232898109e-02
-8.036036036036035668e+00,1.325617902870690999e-02
-8.012012012012011297e+00,1.341685657343530576e-02
-7.987987987987987815e+00,1.357899185169813942e-02
-7.963963963963964332e+00,1.374259071181057647e-02
-7.939939939939939961e+00,1.390765891332032371e-02
-7.915915915915915591e+00,1.407420212510213792e-02
-7.891891891891892108e+00,1.424222592344592982e-02
-7.867867867867867737e+00,1.441173579013870290e-02
-7.843843843843844255e+00,1.458273711054065835e-02
-7.819819819819819884e+00,1.475523517165596224e-02
-7.795795795795795513e+00,1.492923516019831892e-02
-7.771771771771772030e+00,1.510474216065192318e-02
-7.747747747747747660e+00,1.528176115332799574e-02
-7.723723723723724177e+00,1.546029701241732716e-02
-7.699699699699699806e+00,1.564035450403929509e-02
-7.675675675675675436e+00,1.582193828428752475e-02
-7.651651651651651953e+00,1.600505289727285549e-02
-7.627627627627627582e+00,1.618970277316376938e-02
-7.603603603603603212e+00,1.637589222622480578e-02
-7.579579579579579729e+00,1.656362545285331930e-02
-7.555555555555555358e+00,1.675290652961505464e-02
-7.531531531531531876e+00,1.694373941127881242e-02
-7.507507507507507505e+00,1.713612792885080630e-02
-7.483483483483483134e+00,1.733007578760896450e-02
-7.459459459459459651e+00,1.752558656513773794e-02
-7.435435435435435281e+00,1.772266370936378260e-02
-7.411411411411411798e+00,1.792131053659289097e-02
-7.387387387387387427e+00,1.812153022954882120e-02
-7.363363363363363057e+00,1.832332583541418022e-02
-7.339339339339339574e+00,1.852670026387408589e-02
-7.315315315315315203e+00,1.873165628516291689e-02
-7.291291291291291721e+00,1.893819652811454951e-02
-7.267267267267267350e+00,1.914632347821680972e-02
-7.243243243243242979e+00,1.935603947567024127e-02
-7.219219219219219497e+00,1.956734671345196006e-02
-7.195195195195195126e+00,1.978024723538499702e-02
-7.171171171171171643e+00,1.999474293421345250e-02
-7.147147147147147273e+00,2.021083554968419391e-02
-7.123123123123122902e+00,2.042852666663537084e-02
-7.099099099099099419e+00,2.064781771309237568e-02
-7.075075075075075048e+00,2.086870995837171103e-02
-7.051051051051050678e+00,2.109120451119315953e-02
-7.027027027027027195e+00,2.131530231780094306e-02
-7.003003003003002824e+00,2.154100416009423202e-02
-6.978978978978979342e+00,2.176831065376753568e-02
-6.954954954954954971e+00,2.199722224646155286e-02
-6.930930930930930600e+00,2.222773921592488197e-02
-6.906906906906907118e+00,2.245986166818721846e-02
-6.882882882882882747e+00,2.269358953574452525e-02
-6.858858858858859264e+00,2.292892257575656831e-02
-6.834834834834834894e+00,2.316586036825762224e-02
-6.810810810810810523e+00,2.340440231438052632e-02
-6.786786786786787040e+00,2.364454763459491668e-02
-6.762762762762762669e+00,2.388629536695997466e-02
-6.738738738738739187e+00,2.412964436539227417e-02
-6.714714714714714816e+00,2.437459329794933877e-02
-6.690690690690690445e+00,2.462114064512927608e-02
-6.666666666666666963e+00,2.486928469818716972e-02
-6.642642642642642592e+00,2.511902355746877674e-02
-6.618618618618619109e+00,2.537035513076184648e-02
-6.594594594594594739e+00,2.562327713166594190e-02
-6.570570570570570368e+00,2.587778707798095088e-02
-6.546546546546546885e+00,2.613388229011511660e-02
-6.522522522522522515e+00,2.639155988951296869e-02
-6.498498498498498144e+00,2.665081679710365470e-02
-6.474474474474474661e+00,2.691164973177042133e-02
-6.450450450450450290e+00,2.717405520884155420e-02
-6.426426426426426808e+00,2.743802953860339719e-02
-6.402402402402402437e+00,2.770356882483615904e-02
-6.378378378378378066e+00,2.797066896337263575e-02
-6.354354354354354584e+00,2.823932564068090678e-02
-6.330330330330330213e+00,2.850953433247116128e-02
-6.306306306306306730e+00,2.878129030232723373e-02
-6.282282282282282360e+00,2.905458860036367122e-02
-6.258258258258257989e+00,2.932942406190842954e-02
-6.234234234234234506e+00,2.960579130621211405e-02
-6.210210210210210136e+00,2.988368473518410867e-02
-6.186186186186186653e+00,3.016309853215609280e-02
-6.162162162162162282e+00,3.044402666067363636e-02
-6.138138138138137911e+00,3.072646286331619236e-02
-6.114114114114114429e+00,3.101040066054621194e-02
-6.090090090090090058e+00,3.129583334958779134e-02
-6.066066066066065687e+00,3.158275400333525329e-02
-6.042042042042042205e+00,3.187115546929251281e-02
-6.018018018018017834e+00,3.216103036854343206e-02
-5.993993993993994351e+00,3.245237109475371945e-02
-5.969969969969969981e+00,3.274516981320507031e-02
-5.945945945945945610e+00,3.303941845986177461e-02
-5.921921921921922127e+00,3.333510874047054123e-02
-5.897897897897897757e+00,3.363223212969392029e-02
-5.873873873873874274e+00,3.393077987027769832e-02
-5.849849849849849903e+00,3.423074297225303653e-02
-5.825825825825825532e+00,3.453211221217353244e-02
-5.801801801801802050e+00,3.483487813238789199e-02
-5.777777777777777679e+00,3.513903104034862834e-02
-5.753753753753754197e+00,3.544456100795711356e-02
-5.729729729729729826e+00,3.575145787094578115e-02
-5.705705705705705455e+00,3.605971122829749326e-02
-5.681681681681681972e+00,3.636931044170289146e-02
-5.657657657657657602e+00,3.668024463505607791e-02
-5.633633633633634119e+00,3.699250269398883517e-02
-5.609609609609609748e+00,3.730607326544427282e-02
-5.585585585585585378e+00,3.762094475728983145e-02
-5.561561561561561895e+00,3.793710533797043510e-02
-5.537537537537537524e+00,3.825454293620209056e-02
-5.513513513513513153e+00,3.857324524070619709e-02
-5.489489489489489671e+00,3.889319969998519810e-02
-5.465465465465465300e+00,3.921439352213989399e-02
-5.441441441441441818e+00,3.953681367472860336e-02
-5.417417417417417447e+00,3.986044688466896385e-02
-5.393393393393393076e+00,4.018527963818228216e-02
-5.369369369369369593e+00,4.051129818078112732e-02
-5.345345345345345223e+00,4.083848851730044471e-02
-5.321321321321321740e+00,4.116683641197235732e-02
-5.297297297297297369e+00,4.149632738854536901e-02
-5.273273273273272999e+00,4.182694673044782402e-02
-5.249249249249249516e+00,4.215867948099637219e-02
-5.225225225225225145e+00,4.249151044364955776e-02
-5.201201201201201663e+00,4.282542418230672610e-02
-5.177177177177177292e+00,4.316040502165284509e-02
-5.153153153153152921e+00,4.349643704754924817e-02
-5.129129129129129439e+00,4.383350410747067355e-02
-5.105105105105105068e+00,4.417158981098898846e-02
-5.081081081081080697e+00,4.451067753030360508e-02
-5.057057057057057214e+00,4.485075040081900472e-02
-5.033033033033032844e+00,4.519179132176973090e-02
-5.009009009009009361e+00,4.553378295689267108e-02
-4.984984984984984990e+00,4.587670773514731376e-02
-4.960960960960960620e+00,4.622054785148383554e-02
-4.936936936936937137e+00,4.656528526765942033e-02
-4.912912912912912766e+00,4.691090171310293572e-02
-4.888888888888889284e+00,4.725737868582805673e-02
-4.864864864864864913e+00,4.760469745339517694e-02
-4.840840840840840542e+00,4.795283905392204449e-02
